poll_id,debate_date,date,candidate,democratdum,republicandum,year,sample1,high_sample1,change_democrats,change_republicans,d_republicans,pre_democrats,pre_republicans,Immigration,ForeignPolicy,AbortionRights,aggressive,inflammatory,discriminatory,aggressive_d,aggressive_r,inflammatory_d,inflammatory_r,discriminatory_d,discriminatory_r
799.0,2012-10-03,2012-10-03,ROMNEY,0.0,1.0,2012.0,2118.0,1.0,-7.0,-1.0,0.0,49.0,47.0,1,1,0,126,14,8,62,64,12,2,6,2
800.0,2012-10-03,2012-10-03,OBAMA,1.0,0.0,2012.0,1000.0,0.0,7.0,2.0,2.0,42.0,46.0,1,1,0,126,14,8,62,64,12,2,6,2
801.0,2012-10-03,2012-10-03,ROMNEY,0.0,1.0,2012.0,1901.0,1.0,-1.0,0.0,0.0,49.0,48.0,1,1,0,126,14,8,62,64,12,2,6,2
802.0,2012-10-03,2012-10-03,ROMNEY,0.0,1.0,2012.0,1500.0,1.0,-1.0,1.0,1.0,48.0,48.0,1,1,0,126,14,8,62,64,12,2,6,2
802.0,2012-10-03,2012-10-03,OBAMA,1.0,0.0,2012.0,1500.0,1.0,-1.0,1.0,1.0,48.0,48.0,1,1,0,126,14,8,62,64,12,2,6,2
803.0,2012-10-03,2012-10-03,OBAMA,1.0,0.0,2012.0,1112.0,1.0,-2.0,0.0,-2.0,47.0,49.0,1,1,0,126,14,8,62,64,12,2,6,2
804.0,2012-10-03,2012-10-03,ROMNEY,0.0,1.0,2012.0,800.0,0.0,0.0,-4.0,0.0,45.0,49.0,1,1,0,126,14,8,62,64,12,2,6,2
805.0,2012-10-03,2012-10-03,OBAMA,1.0,0.0,2012.0,1109.0,1.0,0.0,1.0,-3.5,45.0,45.0,1,1,0,126,14,8,62,64,12,2,6,2
806.0,2012-10-03,2012-10-03,ROMNEY,0.0,1.0,2012.0,1000.0,0.0,-2.0,-5.0,0.0,45.0,46.0,1,1,0,126,14,8,62,64,12,2,6,2
807.0,2012-10-03,2012-10-03,OBAMA,1.0,0.0,2012.0,2700.0,1.0,4.0,7.0,2.166668,43.0,41.0,1,1,0,126,14,8,62,64,12,2,6,2
808.0,2012-10-03,2012-10-03,ROMNEY,0.0,1.0,2012.0,838.0,0.0,1.0,-4.0,0.0,47.0,48.0,1,1,0,126,14,8,62,64,12,2,6,2
810.0,2012-10-03,2012-10-03,ROMNEY,0.0,1.0,2012.0,700.0,0.0,-1.0,1.0,0.0,46.0,44.0,1,1,0,126,14,8,62,64,12,2,6,2
811.0,2012-10-03,2012-10-03,ROMNEY,0.0,1.0,2012.0,1360.0,1.0,1.0,2.0,0.0,45.0,45.0,1,1,0,126,14,8,62,64,12,2,6,2
812.0,2012-10-03,2012-10-03,ROMNEY,0.0,1.0,2012.0,3050.0,1.0,2.0,-1.0,0.0,46.0,47.0,1,1,0,126,14,8,62,64,12,2,6,2
813.0,2012-10-03,2012-10-03,ROMNEY,0.0,1.0,2012.0,1000.0,0.0,1.0,2.0,2.333332,48.0,46.0,1,1,0,126,14,8,62,64,12,2,6,2
813.0,2012-10-11,2012-10-11,BIDEN,1.0,0.0,2012.0,1000.0,0.0,1.0,2.0,2.333332,48.0,46.0,0,0,0,126,24,10,48,78,8,16,6,4
813.0,2012-10-03,2012-10-03,OBAMA,1.0,0.0,2012.0,1000.0,0.0,1.0,2.0,2.333332,48.0,46.0,1,1,0,126,14,8,62,64,12,2,6,2
814.0,2012-10-03,2012-10-03,OBAMA,1.0,0.0,2012.0,923.0,0.0,0.0,-2.0,-2.0,49.0,48.0,1,1,0,126,14,8,62,64,12,2,6,2
814.0,2012-10-11,2012-10-11,BIDEN,1.0,0.0,2012.0,923.0,0.0,0.0,-2.0,-2.0,49.0,48.0,0,0,0,126,24,10,48,78,8,16,6,4
814.0,2012-10-03,2012-10-03,ROMNEY,0.0,1.0,2012.0,923.0,0.0,0.0,-2.0,-2.0,49.0,48.0,1,1,0,126,14,8,62,64,12,2,6,2
815.0,2012-10-16,2012-10-16,ROMNEY,0.0,1.0,2012.0,1023.0,1.0,-1.0,-1.0,-1.0,49.0,46.0,1,1,0,146,12,8,68,78,4,8,4,4
815.0,2012-10-03,2012-10-03,OBAMA,1.0,0.0,2012.0,1023.0,1.0,-1.0,-1.0,-1.0,49.0,46.0,1,1,0,126,14,8,62,64,12,2,6,2
815.0,2012-10-16,2012-10-16,OBAMA,1.0,0.0,2012.0,1023.0,1.0,-1.0,-1.0,-1.0,49.0,46.0,1,1,0,146,12,8,68,78,4,8,4,4
815.0,2012-10-03,2012-10-03,ROMNEY,0.0,1.0,2012.0,1023.0,1.0,-1.0,-1.0,-1.0,49.0,46.0,1,1,0,126,14,8,62,64,12,2,6,2
815.0,2012-10-11,2012-10-11,BIDEN,1.0,0.0,2012.0,1023.0,1.0,-1.0,-1.0,-1.0,49.0,46.0,0,0,0,126,24,10,48,78,8,16,6,4
816.0,2012-10-16,2012-10-16,OBAMA,1.0,0.0,2012.0,1000.0,0.0,0.0,0.0,-1.5,48.0,45.0,1,1,0,146,12,8,68,78,4,8,4,4
816.0,2012-10-03,2012-10-03,OBAMA,1.0,0.0,2012.0,1000.0,0.0,0.0,0.0,-1.5,48.0,45.0,1,1,0,126,14,8,62,64,12,2,6,2
816.0,2012-10-11,2012-10-11,BIDEN,1.0,0.0,2012.0,1000.0,0.0,0.0,0.0,-1.5,48.0,45.0,0,0,0,126,24,10,48,78,8,16,6,4
817.0,2012-10-03,2012-10-03,ROMNEY,0.0,1.0,2012.0,1000.0,0.0,-5.0,-3.0,0.0,48.0,45.0,1,1,0,126,14,8,62,64,12,2,6,2
817.0,2012-10-11,2012-10-11,BIDEN,1.0,0.0,2012.0,1000.0,0.0,-5.0,-3.0,0.0,48.0,45.0,0,0,0,126,24,10,48,78,8,16,6,4
817.0,2012-10-16,2012-10-16,ROMNEY,0.0,1.0,2012.0,1000.0,0.0,-5.0,-3.0,0.0,48.0,45.0,1,1,0,146,12,8,68,78,4,8,4,4
818.0,2012-10-03,2012-10-03,OBAMA,1.0,0.0,2012.0,1000.0,0.0,2.0,3.0,3.5,43.0,42.0,1,1,0,126,14,8,62,64,12,2,6,2
