date,speaker,party,sentence
2020-10-22,BIDEN,Dem,"They need to deal with ventilation systems, they need to deal with smaller classes, more teachers, more pods, and he’s refused to support that money, or at least up to now."
2020-10-22,TRUMP,Rep,"Well, I think we have to respond, if I might."
2020-10-22,TRUMP,Rep,"Thank you, and I appreciate that."
2020-10-22,TRUMP,Rep,"Look, all he does is talk about shutdowns but forget about him."
2020-10-22,TRUMP,Rep,"His democrat governors — Cuomo in New York, you look at what’s going on in California, you look at Pennsylvania, North Carolina, Democrats, Democrats all — they are shut down so tight, and they’re dying."
2020-10-22,TRUMP,Rep,They’re dying.
2020-10-22,TRUMP,Rep,And he supports all these people.
2020-10-22,TRUMP,Rep,All he talks about is shutdowns.
2020-10-22,TRUMP,Rep,"No, we’re not going to shut down, and we have to open our schools."
2020-10-22,TRUMP,Rep,"And it’s like, as an example, I have a young son."
2020-10-22,TRUMP,Rep,He also tested positive.
2020-10-22,TRUMP,Rep,"By the time I spoke to the doctor, the second time, he was fine, it just went away."
2020-10-22,TRUMP,Rep,"Young people, I guess it’s their immune system."
2020-10-22,TRUMP,Rep,I want to open the schools.
2020-10-22,TRUMP,Rep,"The transmittal rate to the teachers is very small, but I want to open the schools."
2020-10-22,TRUMP,Rep,We have to open our country.
2020-10-22,TRUMP,Rep,We’re not going to have a country.
2020-10-22,TRUMP,Rep,"You can’t do this, we can’t keep this country closed."
2020-10-22,TRUMP,Rep,It is a massive country with a massive economy.
2020-10-22,TRUMP,Rep,"People are losing their jobs, they’re committing suicide."
2020-10-22,TRUMP,Rep,"There’s depression, alcohol, drugs at a level that nobody’s ever seen before."
2020-10-22,TRUMP,Rep,"There’s abuse, tremendous abuse."
2020-10-22,TRUMP,Rep,We have to open our country.
2020-10-22,TRUMP,Rep,"You know I’ve said it often — the cure cannot be worse than the problem itself, and that’s what’s happening, and he wants to close down."
2020-10-22,TRUMP,Rep,"He’ll close down the country if one person in our, in our massive bureaucracy says we should close it down."
2020-10-22,BIDEN,Dem,Simply not true.
2020-10-22,BIDEN,Dem,We’re gonna be able to walk and chew gum at the same time.
2020-10-22,BIDEN,Dem,"We ought to be able to safely open, but they need resources to open."
2020-10-22,BIDEN,Dem,"You need to be able to, for example, if you’re gonna open a business, have social distancing within the business."
2020-10-22,BIDEN,Dem,"You need to have, if you have a restaurant, you need to have plexiglass dividers so people cannot infect one another."
2020-10-22,BIDEN,Dem,"You need to be in a position where you can take testing rapidly and know whether a person is, in fact, infected."
2020-10-22,BIDEN,Dem,You need to be able to trace.
2020-10-22,BIDEN,Dem,You need to be able to provide all the resources that are needed to do this and that is not inconsistent with saying that we’re going to make sure that we open safely.
2020-10-22,BIDEN,Dem,"And by the way, all you teachers out there — not that many of you are going to die, so don’t worry about it."
2020-10-22,BIDEN,Dem,Don’t worry about it.
2020-10-22,TRUMP,Rep,"By the way, I will say this, if you go and look at what’s happened to New York, it’s a ghost town."
2020-10-22,TRUMP,Rep,It’s a ghost town.
2020-10-22,TRUMP,Rep,And when you talk about plexiglass — these are restaurants that are dying.
2020-10-22,TRUMP,Rep,These are businesses with no money.
2020-10-22,TRUMP,Rep,"Putting up plexiglass is unbelievably expensive, and it’s not the answer."
2020-10-22,TRUMP,Rep,"I mean, you’re going to sit there in a cubicle wrapped around with plastic?"
2020-10-22,TRUMP,Rep,"These are businesses that are dying, Joe, you can’t do that to people, you just can’t."
2020-10-22,TRUMP,Rep,Take a look at New York and what’s happened to my wonderful city.
2020-10-22,TRUMP,Rep,"For so many years, I loved it."
2020-10-22,TRUMP,Rep,It was vibrant.
2020-10-22,TRUMP,Rep,Everyone’s leaving New York.
2020-10-22,BIDEN,Dem,"Take a look at what New York has done in terms of turning the curve down, in terms of the number of people dying."
2020-10-22,BIDEN,Dem,"And I don’t look at this in terms of the way he does, blue states and red states."
2020-10-22,BIDEN,Dem,They’re all the United States.
2020-10-22,BIDEN,Dem,And look at the states that are having such a spike in the coronavirus.
2020-10-22,BIDEN,Dem,They’re the red states.
